GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core,CoreRestorer,5,205,1,9,1,36,1,10,0,6
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core,CoreDumper,11,244,3,5,6,43,2,8,0,6
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core,AbstractCoreDbAction,68,220,7,17,7,50,9,15,2,10
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core,CoreCredentials,0,79,0,6,0,22,0,6,0,3
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core,CoreDeleter,0,81,0,0,0,15,0,3,0,3
db-dumper-service,com.orange.clara.cloud.servicedbdumper.filer.factory,FactoryFiler,3,51,0,0,1,9,1,3,1,3
db-dumper-service,com.orange.clara.cloud.servicedbdumper.filer.factory,FilerType,0,68,0,0,0,6,0,5,0,5
db-dumper-service,com.orange.clara.cloud.servicedbdumper.service,DbDumperServiceInstanceBindingService,0,323,1,19,0,70,1,16,0,7
db-dumper-service,com.orange.clara.cloud.servicedbdumper.service,DbDumperServiceInstanceService,113,593,15,34,23,99,13,24,1,11
db-dumper-service,com.orange.clara.cloud.servicedbdumper.service,DbDumperServiceInstanceService.new Object() {...},4,29,0,0,0,1,0,1,0,1
db-dumper-service,com.orange.clara.cloud.servicedbdumper.controllers.admin,JobsController,0,118,0,10,0,24,0,11,0,6
db-dumper-service,com.orange.clara.cloud.servicedbdumper.security.useraccess,DefaultUserAccessRight,0,12,0,0,0,4,0,4,0,4
db-dumper-service,com.orange.clara.cloud.servicedbdumper.security.useraccess,CloudFoundryUserAccessRight,25,48,0,6,4,11,0,7,0,4
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task,ScheduledRefreshCloudFoundryClientAdmin,0,12,0,2,0,5,0,3,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task,ScheduledRestoreDumpTask,0,47,0,2,0,11,0,3,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task,ScheduledDeleteDbDumperServiceInstanceTask,0,135,0,10,0,38,0,8,0,3
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task,ScheduledManagingJobTask,0,162,0,12,0,38,0,11,0,5
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task,ScheduledCreateDumpTask,0,47,0,2,0,11,0,3,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task,ScheduledDeleteAllDumpsTask,0,68,0,4,0,14,0,4,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.interceptor,AddAdminUrlsInterceptor,116,16,16,4,27,4,12,3,3,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core.dbdrivers,MysqlDatabaseDriver,0,118,0,0,0,18,0,4,0,4
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core.dbdrivers,DbDumpersFactory,0,101,0,2,0,20,0,12,0,11
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core.dbdrivers,PostgresqlDatabaseDriver,0,94,0,0,0,19,0,4,0,4
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core.dbdrivers,RedisDatabaseDriver,5,88,1,3,1,20,1,7,0,6
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core.dbdrivers,MongodbDatabaseDriver,0,96,0,0,0,20,0,5,0,5
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper.core.dbdrivers,AbstractDatabaseDriver,17,18,0,0,8,8,5,4,5,4
db-dumper-service,com.orange.clara.cloud.servicedbdumper,Application,5,3,0,0,2,1,1,1,1,1
db-dumper-service,com.orange.clara.cloud.servicedbdumper.converter,MetadataConverter,16,29,0,4,4,9,0,5,0,3
db-dumper-service,com.orange.clara.cloud.servicedbdumper.converter,CryptoConverter,12,73,0,2,4,17,0,5,0,4
